Date,State,District,Latitude,Longitude,Volatility
2018-07-01,odisha,Balasore,21.5006421,86.919884,0.3058258072720504
2018-08-01,odisha,Balasore,21.5006421,86.919884,0.2690665122877502
2018-09-01,odisha,Balasore,21.5006421,86.919884,0.3045742154353706
2018-10-01,odisha,Balasore,21.5006421,86.919884,0.2043284489249545
2018-11-01,odisha,Balasore,21.5006421,86.919884,0.311937580269219
2018-12-01,odisha,Balasore,21.5006421,86.919884,0.2423597301624961
2019-01-01,odisha,Balasore,21.5006421,86.919884,0.3684459584179159
2019-02-01,odisha,Balasore,21.5006421,86.919884,0.2881285747439693
2019-03-01,odisha,Balasore,21.5006421,86.919884,0.3982166376562405
2019-04-01,odisha,Balasore,21.5006421,86.919884,0.3117357192524547
2019-05-01,odisha,Balasore,21.5006421,86.919884,0.4148152381352399
2019-06-01,odisha,Balasore,21.5006421,86.919884,0.2857426212617769
2019-07-01,odisha,Balasore,21.5006421,86.919884,0.4632057779054409
2019-08-01,odisha,Balasore,21.5006421,86.919884,0.3096957864229923
2019-09-01,odisha,Balasore,21.5006421,86.919884,0.5223271455269524
2019-10-01,odisha,Balasore,21.5006421,86.919884,0.3451034061879253
2019-11-01,odisha,Balasore,21.5006421,86.919884,0.5745845875118181
2019-12-01,odisha,Balasore,21.5006421,86.919884,0.3969248142705395
2020-01-01,odisha,Balasore,21.5006421,86.919884,0.5937587733097449
2020-02-01,odisha,Balasore,21.5006421,86.919884,0.3796767078880357
2020-03-01,odisha,Balasore,21.5006421,86.919884,0.6482062325604021
2020-04-01,odisha,Balasore,21.5006421,86.919884,0.4213487911232608
2020-05-01,odisha,Balasore,21.5006421,86.919884,0.5711773102357142
2020-06-01,odisha,Balasore,21.5006421,86.919884,0.3591059935750272
2020-07-01,odisha,Balasore,21.5006421,86.919884,0.6322776859097979
2020-08-01,odisha,Balasore,21.5006421,86.919884,0.3808599011126614
2020-09-01,odisha,Balasore,21.5006421,86.919884,0.689188208114235
2020-10-01,odisha,Balasore,21.5006421,86.919884,0.3654806356296763
2020-11-01,odisha,Balasore,21.5006421,86.919884,0.6849836595165464
2020-12-01,odisha,Balasore,21.5006421,86.919884,0.400295075970963
2021-01-01,odisha,Balasore,21.5006421,86.919884,0.5906467260987767
2021-02-01,odisha,Balasore,21.5006421,86.919884,0.3779899025313611
2021-03-01,odisha,Balasore,21.5006421,86.919884,0.5980632190354083
2021-04-01,odisha,Balasore,21.5006421,86.919884,0.4080571414297483
2021-05-01,odisha,Balasore,21.5006421,86.919884,0.5486301663035217
2021-06-01,odisha,Balasore,21.5006421,86.919884,0.3481427242745422
2021-07-01,odisha,Balasore,21.5006421,86.919884,0.4732039095358929
2021-08-01,odisha,Balasore,21.5006421,86.919884,0.3510741705504482
2021-09-01,odisha,Balasore,21.5006421,86.919884,0.4101982841272798
2021-10-01,odisha,Balasore,21.5006421,86.919884,0.379293024071233
2021-11-01,odisha,Balasore,21.5006421,86.919884,0.386843043423151
2021-12-01,odisha,Balasore,21.5006421,86.919884,0.3731134317478373
2022-01-01,odisha,Balasore,21.5006421,86.919884,0.3429925491620107
2022-02-01,odisha,Balasore,21.5006421,86.919884,0.3461827324947774
2022-03-01,odisha,Balasore,21.5006421,86.919884,0.2989489564110945
2022-04-01,odisha,Balasore,21.5006421,86.919884,0.3873635516833247
2022-05-01,odisha,Balasore,21.5006421,86.919884,0.2903271623556981
2022-06-01,odisha,Balasore,21.5006421,86.919884,0.3110688209323783
2022-07-01,odisha,Balasore,21.5006421,86.919884,0.3083043237338908
2022-08-01,odisha,Balasore,21.5006421,86.919884,0.3622463293121136
2022-09-01,odisha,Balasore,21.5006421,86.919884,0.3558702099909525
2022-10-01,odisha,Balasore,21.5006421,86.919884,0.4024124101505445
2022-11-01,odisha,Balasore,21.5006421,86.919884,0.3569568706908483
2022-12-01,odisha,Balasore,21.5006421,86.919884,0.3867870551009217
2023-01-01,odisha,Balasore,21.5006421,86.919884,0.312862659772827
2023-02-01,odisha,Balasore,21.5006421,86.919884,0.4080850790674322
2023-03-01,odisha,Balasore,21.5006421,86.919884,0.3198583877285798
2023-04-01,odisha,Balasore,21.5006421,86.919884,0.4120289369870902
2023-05-01,odisha,Balasore,21.5006421,86.919884,0.2659129469675448
2023-06-01,odisha,Balasore,21.5006421,86.919884,0.3772378869224354
2023-07-01,odisha,Balasore,21.5006421,86.919884,0.2458159001641326
2023-08-01,odisha,Balasore,21.5006421,86.919884,0.3717906853009425
2023-09-01,odisha,Balasore,21.5006421,86.919884,0.2851879597116069
2023-10-01,odisha,Balasore,21.5006421,86.919884,0.4257639596818988
2023-11-01,odisha,Balasore,21.5006421,86.919884,0.323812732860673
2023-12-01,odisha,Balasore,21.5006421,86.919884,0.4071392097209019
2024-01-01,odisha,Balasore,21.5006421,86.919884,0.3571011068758657
2024-02-01,odisha,Balasore,21.5006421,86.919884,0.3861211577480356
2024-03-01,odisha,Balasore,21.5006421,86.919884,0.3307731354865458
2024-04-01,odisha,Balasore,21.5006421,86.919884,0.3677101125509419
2024-05-01,odisha,Balasore,21.5006421,86.919884,0.3413259376460265
2024-06-01,odisha,Balasore,21.5006421,86.919884,0.4283680980758014
2024-07-01,odisha,Balasore,21.5006421,86.919884,0.3580045687940933
2024-08-01,odisha,Balasore,21.5006421,86.919884,0.3644448209175988
2024-09-01,odisha,Balasore,21.5006421,86.919884,0.3483632954808974
2024-10-01,odisha,Balasore,21.5006421,86.919884,0.3966531753461052
2012-02-01,odisha,Bargarh,21.3477634,83.65768299,0.4717099135377471
2012-03-01,odisha,Bargarh,21.3477634,83.65768299,0.4358460525999635
2012-04-01,odisha,Bargarh,21.3477634,83.65768299,0.4644865179732736
2012-05-01,odisha,Bargarh,21.3477634,83.65768299,0.4235424259701606
2012-06-01,odisha,Bargarh,21.3477634,83.65768299,0.4033562855543625
2012-07-01,odisha,Bargarh,21.3477634,83.65768299,0.6653646764015771
2012-08-01,odisha,Bargarh,21.3477634,83.65768299,0.3797416827435286
2012-09-01,odisha,Bargarh,21.3477634,83.65768299,0.5108073754724938
2012-10-01,odisha,Bargarh,21.3477634,83.65768299,0.5387107937204599
2012-11-01,odisha,Bargarh,21.3477634,83.65768299,0.457237667688167
2012-12-01,odisha,Bargarh,21.3477634,83.65768299,0.5410656735252523
2013-01-01,odisha,Bargarh,21.3477634,83.65768299,0.4677925905329134
2013-02-01,odisha,Bargarh,21.3477634,83.65768299,0.4498770907043736
2013-03-01,odisha,Bargarh,21.3477634,83.65768299,0.4335615736470799
2013-04-01,odisha,Bargarh,21.3477634,83.65768299,0.412117234623029
2013-05-01,odisha,Bargarh,21.3477634,83.65768299,0.4284098479866804
2013-06-01,odisha,Bargarh,21.3477634,83.65768299,0.4740574487961727
2013-07-01,odisha,Bargarh,21.3477634,83.65768299,0.3166187720351232
