Price Date,Ashoknagar,Chhindwara,Dewas,Guna,Harda,Indore,Khandwa,Khargone,Mandsaur,Raisen,Rajgarh,Sagar,Sehore,Shajapur,Shivpuri,Tikamgarh,Ujjain,Vidisha
2012-02-01,0.3251254211030723,0.14147447610007588,0.10418427137399536,0.16035702655729386,0.13127045720622596,0.11790264510019936,0.14865378301739557,0.12742586038789103,0.14243274755376528,0.11493646863448524,0.11767398142818918,0.10401106858983121,0.10757919536953452,0.25993334592392947,0.17530653317056935,0.11109895466699188,0.11405652598319459,0.11088447442292847
2012-03-01,0.35879163168333855,0.1400157735819573,0.11286094764335274,0.1423392546412623,0.13242075152181126,0.11176095571332469,0.13738177748095104,0.11344424149910687,0.12373746716695323,0.075352338953656,0.11415238995967024,0.11184164527577924,0.08796192406731015,0.23337720529460393,0.12833072117691324,0.09376615554574932,0.10617649918446095,0.10317643414714192
2012-04-01,0.45227839019249844,0.1621913644176761,0.08996504499813163,0.14964666081096725,0.13721665370438849,0.13745969533225122,0.14636240901357073,0.09871203709388979,0.16082719337491422,0.27842043234273667,0.11485473645640291,0.09487603132926323,0.13413701592485902,0.2602894790389372,0.11589547018921209,0.16063657646141075,0.11498855892516306,0.13513508266562646
2012-05-01,0.30625056545576473,0.1530311745991542,0.08429704050948025,0.0995671182317998,0.10893396838430516,0.19663543912097806,0.20170943133140035,0.17440347056627586,0.197979330346734,0.10458721454076833,0.16200681394589572,0.158225061295622,0.104843065926217,0.31677281005774155,0.15385177699129776,0.1456973547197845,0.18831541355983852,0.11723959322634296
2012-06-01,0.2018424439096422,0.15503567386198921,0.14903906089507832,0.11292193575342863,0.12292242688692719,0.1264385510512658,0.17708878091229235,0.30126311640638803,0.15821392699869072,0.11344629032484276,0.15693709890914911,0.1419793582042468,0.09791205810398682,0.14450582612726687,0.16808036249684377,0.14290380718826456,0.15084137592516605,0.09927335844095185
2012-07-01,0.18949361793743208,0.20154218956526307,0.06936714401972198,0.1564037498947569,0.1462341407082745,0.06516213332217766,0.1760431332702897,0.08548285614203784,0.13399130375649776,0.19964854869816337,0.09752222095776016,0.12319856775067595,0.09554534074750048,0.8399747451307324,0.08559168565263937,0.1181917908264009,0.127037781036469,0.12052349992182268
2012-08-01,0.3497692426791389,0.1622551356844621,0.07050160291181784,0.08985403362730618,0.0866748696285793,0.29824442140031204,0.19031914002070555,0.06604756220140197,0.17028330025716132,0.041286074635241116,0.08479420480881826,0.11755421608193135,0.10892037902253718,0.09843947288918364,0.09421313755662893,0.12697073449748095,0.16578321584979355,0.11569038865817223
2012-09-01,0.24139559543463315,0.16389259011800306,0.1683998186284209,0.09931605590267889,0.1368044592017556,0.578213271951305,0.1593388466933973,0.3187050819107162,0.16192024797673268,0.1425266759105111,0.1758218363975385,0.1671645573367069,0.2055294951775457,0.27636749458362453,0.4686598179951092,0.14685204551263356,0.14202213224339416,0.09239887488690575
2012-10-01,0.18995751247234496,0.10045784595501284,0.04285560579477474,0.4670785750577868,0.10323409187669626,0.0656178320647951,0.13064175811160636,0.1796539481552978,0.14077860021747438,0.2385439851223329,0.13618823869627195,0.07687750347510451,0.12974777057218284,0.17984910658687409,0.14104126108955578,0.12549355801182888,0.10971348180538108,0.38359151351542625
2012-11-01,0.11592254642949663,0.06301069380709737,0.1262743939441836,0.016638208411694184,0.06511935705925603,0.054100309405871023,0.23091206131146047,0.05668909777415217,0.15887979032658747,0.054318122272986546,0.11418121404043965,0.14867525231067988,0.14139771164516232,0.21927567438827186,0.21987176629009444,0.11132423030696702,0.19365699520063692,0.06430914548086851
2012-12-01,0.11003592293071938,0.20759484058196834,0.09418384061183772,0.20026955947090608,0.18213630656649576,0.6994791617278595,0.1373674597684495,0.17806027215091222,0.09382898764292791,0.06065924619131341,0.12874046690054067,0.10334406907545968,0.08966748834439013,0.1531292071738014,0.1787519126679191,0.03289153433584109,0.08648650608172145,0.3010032369439424
2013-01-01,0.1003860744041325,0.078226897580329,0.06752995701531797,0.18470388140723917,0.0677544163749675,0.12988292882938787,0.10228978006832817,0.1828252653110501,0.06870326953918014,0.14669602495237544,0.05286780905381626,0.08942456100642078,0.10091424991823734,0.21306566439726374,0.15753722359020975,0.08596352543247017,0.08335835073852262,0.059484800155040055
2013-02-01,0.10799210231466602,0.062246035445318884,0.11071912063884976,0.06269980817929957,0.11152247273448745,0.024549646417140355,0.10022111509862937,0.07295425542564196,0.06782720272328455,0.053930817488380876,0.07950291175386029,0.08883991502407725,0.0687021920384165,0.14726886257292648,0.06671976492104151,0.022458196544138807,0.08755941462809523,0.200513028448863
2013-03-01,0.11580494827220217,0.06762430102960611,0.11908071799665118,0.23835628834644987,0.08535473055334274,0.1844033835915329,0.10308324991910602,0.05401326031876361,0.06930321622435295,0.08456334500722792,0.10463509939935077,0.09270687912480856,0.07957526003996801,0.23034486272691201,0.09605435752636882,0.0897667836425114,0.08776027281223749,0.05509381466957756
2013-04-01,0.1472946710630821,0.10380921669252328,0.0921411687987247,0.1497502477512949,0.119945801549781,0.35889364975607535,0.10903095987667522,0.13419006988014875,0.08554924302704292,0.24264338552832032,0.09746246436729877,0.09385412993072599,0.07636531864477693,0.5742823742069959,0.10062411111373652,0.09191126432072182,0.09691916765132874,0.2717855241370576
2013-05-01,0.15172433324230536,0.10993840188187948,0.07504377325515126,0.10880403293008177,0.08219185316372289,0.050225617903643535,0.14144531491910686,0.11813601516394416,0.11142493247469723,0.06543324345719063,0.0765482927032413,0.10382256708799514,0.08737625198959798,0.17729546352601475,0.12260581529197268,0.15022795723658366,0.13176903152686564,0.04904355544869085
2013-06-01,0.3006698757420607,0.1431885823396523,0.10557697814393911,0.19435609221147868,0.13195487991750707,0.042003408912223365,0.13407012408816746,0.08241817716725465,0.10825462109960479,0.10594806056789079,0.08047949046979537,0.12524638185435985,0.08103209353053521,0.1165980126800732,0.07512652364601252,0.12450739774834751,0.1123850909091506,0.19118815056014954
2013-07-01,0.29704117001704167,0.09639389936932416,0.11993488467643525,0.15014919889116307,0.09078077538936101,0.16809597063249682,0.10841204769082599,0.07285607163019558,0.10017706640916854,0.17595383972222245,0.05754107896727782,0.0935077876292062,0.06980925306104714,0.1060759591133833,0.09653857046677755,0.10190691623564786,0.09751631806207527,0.05310693522304258
2013-08-01,0.18247480875148492,0.10232510576270301,0.04536864857402055,0.4130179460422128,0.12021926877121446,0.11601655055400927,0.10389166926565559,0.1124463463744196,0.10357613898406196,0.0672787476863982,0.15002818916023114,0.07559605997196074,0.14741603947193424,0.16156843813610192,0.14122579435846652,0.1308482893756389,0.10131662617155048,0.22862658365647315
2013-09-01,0.10403050843558223,0.0712471935952803,0.06370853803191713,0.041527107245039434,0.0773426524268664,0.08657904450204666,0.12159190750726799,0.2101184723478814,0.10168453310577202,0.20870026221291407,0.2521162039929717,0.09934992573825825,0.057568395763498106,0.17006827886338435,0.09237366693826725,0.17394988362403047,0.11350591913943615,0.050066778062761164
2013-10-01,0.09273951669000864,0.11127750477265205,0.14550339447553373,0.15800136235332846,0.13820493554802282,0.2065150072985666,0.10984443735606308,0.09471070065582383,0.1374074453205016,0.07965440550215788,0.09646787822151766,0.09325518859712592,0.11109544076208044,0.10216730496173265,0.3532415424866441,0.141626042073359,0.09522503650819511,0.17404885623444954
2013-11-01,0.08095798503791543,0.11876874682525237,0.0418617180046749,0.18140378551903008,0.07698291485698844,0.12193981855067669,0.11821679650393313,0.04547007413553879,0.09643068388086042,0.061763407155685034,0.021504170817743088,0.08281429957184448,0.049671517316264645,0.17703462931219707,0.16646878187932262,0.05191902553061675,0.09388158149971529,0.05045939755994658
2013-12-01,0.07002169753652639,0.086856561673593,0.0628627572878278,0.07743907503478563,0.12767091355935942,0.05891574438721094,0.10757351164746767,0.15912483838614383,0.05751098531317501,0.4672537792451128,0.13179188981437223,0.09547172600654265,0.19050257762555123,0.08872971676427578,0.10514219864730429,0.11661589239406188,0.10207183511235367,0.12786495742491485
2014-01-01,0.07134037062516008,0.14765848601603682,0.11980241424605939,0.25127469296639643,0.08939440932148587,0.14431410038499717,0.09651930793879634,0.33809038742020286,0.04992545800335267,0.05400526402219527,0.1808507492048637,0.08834593525489937,0.041033869344990044,0.16555782913934367,0.07680077502719691,0.05844753149873336,0.09729226367016713,0.04974035551545347
2014-02-01,0.0724561081892506,0.1044282161955185,0.06606838791213691,0.09955253416742317,0.11518430442837713,0.18370506439899714,0.09382428899576456,0.07652025357100034,0.05838615524352376,0.037960850559020876,0.044143525807651844,0.08872182973742244,0.17138682266970917,0.088090126185446,0.11265325930701402,0.12158409736299489,0.09320361965399185,0.1455449125683658
