Price Date,Balasore,Bargarh,Dhenkanal,Ganjam,Kalahandi,Khurda,Mayurbhanja,Nayagarh
2012-02-01,0.49300501658648155,0.47170991353774716,0.45578762233123005,0.4289465246666225,0.3383378799729218,0.3037688028410744,0.4157905925332065,0.4029707062527418
2012-03-01,0.4907565578968251,0.4358460525999635,0.5065097880209604,0.366694114521801,0.2605374555712288,0.32424961052008244,0.44380708155517057,0.37885279326576293
2012-04-01,0.4841036098393534,0.4644865179732736,0.4085600978952066,0.44489826149900946,0.23893573161069065,0.26914407738711066,0.43782872359502456,0.3818397648576107
2012-05-01,0.47361495224335276,0.4235424259701606,0.46336193564566486,0.31964542359300724,0.3141178146017459,0.24208377769391323,0.4317717174540971,0.40738470259086834
2012-06-01,0.4408030663895174,0.4033562855543625,0.45972854864018425,0.4411680435147435,0.2350555519053057,0.40784913681478485,0.45801162888763786,0.5843332404487365
2012-07-01,0.4674338533685499,0.6653646764015771,0.24768956948014373,0.4055805858654977,0.20987586302874303,0.30099655602230163,0.39776773851331837,0.27148371612842465
2012-08-01,0.4009357053115477,0.3797416827435286,0.2561058895750123,0.5088375968291001,0.2752347485261106,0.49568077766200824,0.36545323077040553,0.40338523495830514
2012-09-01,0.4276431067277495,0.5108073754724938,0.21764594323084546,0.39514138979873004,0.2119279817995028,0.3795715036893498,0.2924885365531884,0.4186090359883624
2012-10-01,0.4020559668080061,0.5387107937204599,0.2634724091916371,0.4094855249164446,0.21120828803987576,0.17044188927809026,0.38363600089037736,0.362026561861981
2012-11-01,0.46730267207577436,0.45723766768816704,0.29418280903491684,0.39129778893476025,0.2289023239056018,0.1929039125915044,0.2826968662396274,0.37976398701879543
2012-12-01,0.4522136007249337,0.5410656735252523,0.35140336154363794,0.3350031007543501,0.2480713582441164,0.27637524943082475,0.442696788985759,0.5856121526782834
2013-01-01,0.4625326319094414,0.4677925905329134,0.44207983909078263,0.488724378117581,0.2675658664804312,0.481191549603679,0.4760166385845195,0.3685318614602513
2013-02-01,0.3581922337920617,0.44987709070437365,0.5004138222421558,0.31820329365151745,0.3992032243526291,0.3151302298294542,0.30438278136026475,0.3030657065944571
2013-03-01,0.4517870319382614,0.4335615736470799,0.6068247351390501,0.3837157216179459,0.30710133907120296,0.4032357639041887,0.5341626366957711,0.41052271761950904
2013-04-01,0.4026024154517335,0.412117234623029,0.644912643772139,0.30497428638387564,0.2740187749507998,0.5489041795567765,0.4476176103576438,0.6939380769463713
2013-05-01,0.4125059205361492,0.4284098479866804,0.727916109338699,0.3270400767007338,0.297336465427924,0.39739186675083676,0.4468494821225323,0.4854400294831233
2013-06-01,0.361544269849865,0.47405744879617273,0.5314928084350982,0.49095093004661167,0.3177323885970646,0.556421620126397,0.45748552942831233,0.3092504339758221
2013-07-01,0.384782471999476,0.3166187720351232,0.553923690474026,0.35802648494226125,0.32718752708331733,0.6156587233529562,0.3860439488302755,0.525185653155811
2013-08-01,0.39131294234201136,0.4446414990461651,0.35659839922278797,0.5482629167404587,0.29320030184954804,0.3329813583661678,0.5263512713313786,0.6984497725192869
2013-09-01,0.42654703302536523,0.4019037856949045,0.3970603336503478,0.3747235275157039,0.25696774410738105,0.40362113427226537,0.5748654953321048,0.277833270265
2013-10-01,0.40121040675906894,0.40756481992521243,0.41137945312449853,0.48177481045212717,0.24896321293223936,0.3174189974614179,0.34781208640172956,0.40817179378797785
2013-11-01,0.30998108692411047,0.4239315556515238,0.28414585296424205,0.3938262025884525,0.23040729902889967,0.16369496371335232,0.413264646835446,0.6281666334349164
2013-12-01,0.35996784081287914,0.5012841885097982,0.302941933476625,0.41425577391925594,0.31438160606487364,0.4538208459587852,0.37869681993325793,0.6205690094184682
2014-01-01,0.3616528880943671,0.321900049400399,0.35823185506580835,0.5906828220660841,0.27172881866757614,0.39180263977729307,0.5008920732374235,0.3618277396108695
2014-02-01,0.3901587170057929,0.44908960118269675,0.4478166984975328,0.3872380621743795,0.3900739502051813,0.24534217248469847,0.30593715012312767,0.21180867380149987
2014-03-01,0.41900320513188966,0.4238939847364057,0.3527463034672742,0.48670359029234395,0.27219227161396553,0.26511734209321675,0.46199938883356645,0.5581174705457196
2014-04-01,0.4209141737801515,0.4064684484856172,0.403083018690951,0.6529595659136819,0.2950916383753022,0.2665381563586106,0.502902065440167,0.4934946245480511
2014-05-01,0.4438449153940926,0.3779029467648158,0.4771533840203617,0.624530324105229,0.2484488560886957,0.3336585454400648,0.26352089984165317,0.6226963707740727
2014-06-01,0.37771990795112037,0.44652474230297595,0.486966963599366,0.5404618736887952,0.2487314176579687,0.4250284763161491,0.433245619419578,0.4212116063088644
2014-07-01,0.4583914930911461,0.33315843352354335,0.22780090264670677,0.6130420564103058,0.31056534759687277,0.14912141515713306,0.30553732107030734,0.28725997199430325
2014-08-01,0.2785460283122638,0.5397736683557466,0.19252656444974145,0.403185502984624,0.21566741574588696,0.20539285625981268,0.2790206753686493,0.4691691515668806
2014-09-01,0.4295297438437559,0.36599252107600005,0.26780466433510236,0.48390533026538907,0.20319473250111286,0.32012536528901775,0.38224154845381314,0.8111477663659084
