Date,State,District,Latitude,Longitude,Volatility
2018-04-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1054213385931007
2018-05-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0695120510065035
2018-06-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0805945582495979
2018-07-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0954081532248736
2018-08-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0872792391712193
2018-09-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0889181338140395
2018-10-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0816082620908969
2018-11-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0856416131642724
2018-12-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0872403569996009
2019-01-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0831048468227971
2019-02-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1225475614958833
2019-03-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.116793195601613
2019-04-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.10383443609277
2019-05-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.082188320709775
2019-06-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.092004433322806
2019-07-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0954136832348397
2019-08-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1169607746744489
2019-09-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1125582351815278
2019-10-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.118377965834881
2019-11-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1071796519676442
2019-12-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1182989219182456
2020-01-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1319621254430566
2020-02-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.124420048338596
2020-03-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1207520915649082
2020-04-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1271443053130475
2020-05-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1251533947337656
2020-06-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.113668552935387
2020-07-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1017057944509968
2020-08-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1656307996819417
2020-09-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1762498823696336
2020-10-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1397735101088041
2020-11-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1039961756353941
2020-12-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1266636898418286
2021-01-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1234444701596239
2021-02-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.114712938998528
2021-03-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1394891087486967
2021-04-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1280339433235812
2021-05-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.2068545622107763
2021-06-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1469731608482224
2021-07-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1280191664005799
2021-08-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1829080360877903
2021-09-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1779912293959587
2021-10-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1997233036077557
2021-11-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1060924788621628
2021-12-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0980752952644043
2022-01-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.068970384287736
2022-02-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0743216293367955
2022-03-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1078255614513544
2022-04-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1058061128897415
2022-05-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.1034091763928825
2022-06-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0977273553359456
2022-07-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0864607672692898
2022-08-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0809837027158848
2022-09-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.073954406527202
2022-10-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0965617990767172
2022-11-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0845702388970234
2022-12-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0643262065105874
2023-01-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.039550065386524
2023-02-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0371175492636461
2023-03-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0341607922119524
2023-04-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0378683641042568
2023-05-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0421962563624726
2023-06-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0445150499832791
2023-07-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0447961058652075
2023-08-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0449248781047884
2023-09-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0482337920189385
2023-10-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0550521132087105
2023-11-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0499663187399413
2023-12-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0453886894154718
2024-01-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0427940695109129
2024-02-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0386114641660652
2024-03-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0321164885656645
2024-04-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0285113646915404
2024-05-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0288938469238236
2024-06-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0317879825957811
2024-07-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0392825074332805
2024-08-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0489017384485322
2024-09-01,madhya pradesh,Ashoknagar,24.576189,77.7302895,0.0639542388321791
