Price Date,condvol,PREC,MAXTEMP
2012-02-01,0.2878517120503207,18.79,37.37
2012-03-01,0.22207909934691664,3.9499999999999997,41.26
2012-04-01,0.3340247635032429,433.03000000000003,42.81
2012-05-01,0.263804958116631,187.11,46.19
2012-06-01,0.3663126519905814,1223.2,46.71
2012-07-01,0.38795248871010346,2465.8,33.14
2012-08-01,0.28456686141751886,2042.66,32.33
2012-09-01,0.23353804694576058,1205.22,32.41
2012-10-01,0.2966548680034951,300.22,31.18
2012-11-01,0.16815098841902057,604.4,29.26
2012-12-01,0.28359496229491926,39.21,29.14
2013-01-01,0.3747857717450033,6.629999999999999,30.12
2013-02-01,0.18359426657088151,48.529999999999994,37.12
2013-03-01,0.40067856176315453,21.38,41.62
2013-04-01,0.2060002668586622,392.76,43.55
2013-05-01,0.3929369331807034,390.4,46.7
2013-06-01,0.3956120260166509,1493.81,38.61
2013-07-01,0.21282055696030067,1617.0000000000002,35.07
2013-08-01,0.47838247731725725,1476.45,32.59
2013-09-01,0.17435770437207004,1607.04,32.33
2013-10-01,0.568020673551777,2796.73,30.9
2013-11-01,0.16551788901474007,34.65,29.28
2013-12-01,0.4473594581212421,0.19,26.92
2014-01-01,0.1994392373233896,4.11,27.95
2014-02-01,0.3076262142202966,196.98999999999998,33.08
2014-03-01,0.19927898192775592,205.22000000000003,41.51
2014-04-01,0.8042239561815632,98.19999999999999,44.73
2014-05-01,0.07829452383772946,930.97,45.52
2014-06-01,0.5845869800144498,826.71,44.64
2014-07-01,0.15360702872315984,2495.66,38.55
2014-08-01,0.3393765467895153,1928.52,31.83
2014-09-01,0.1703447596510956,1664.9099999999999,32.83
2014-10-01,0.18816768605209386,650.6099999999999,31.86
2014-11-01,0.25077880907924427,3.7300000000000004,29.52
2014-12-01,0.25615740186482244,96.39,28.57
2015-01-01,0.2408095285516293,126.51,29.73
2015-02-01,0.17585015612015986,61.78,35.51
2015-03-01,0.38322611118329736,152.26999999999998,39.62
2015-04-01,0.21855797171723576,552.4100000000001,43.44
2015-05-01,0.2675233452609327,171.31,47.12
2015-06-01,0.1908836548314316,1333.1399999999999,43.69
2015-07-01,0.23976304469638166,2131.3900000000003,33.83
2015-08-01,0.2733943825318523,1872.8000000000002,32.93
2015-09-01,0.27632619854855656,1196.3700000000001,32.73
2015-10-01,0.21602397196745146,229.20999999999998,32.59
2015-11-01,0.3190742087432579,70.66,30.94
2015-12-01,0.20863798160118696,144.88,31.29
2016-01-01,0.28451607826643477,76.53,33.87
2016-02-01,0.21326793740712446,110.03,38.5
2016-03-01,0.33997533427878646,109.08000000000001,41.37
2016-04-01,0.19468749865959706,51.980000000000004,46.37
2016-05-01,0.26725505762815077,635.77,45.62
2016-06-01,0.21383146259712923,1036.62,43.03
2016-07-01,0.29690312730122687,1651.9599999999998,37.05
2016-08-01,0.10265008565988812,2033.52,32.82
2016-09-01,0.23763565984907684,1558.5800000000002,31.98
2016-10-01,0.1991164367338235,588.72,31.95
2016-11-01,0.19317509981546224,184.90999999999997,29.12
2016-12-01,0.30242082057952896,0.4,28.19
2017-01-01,0.21680913936362448,14.12,31.1
2017-02-01,0.3044490595240086,0.74,37.07
2017-03-01,0.18824000932662038,312.32,43.47
2017-04-01,0.498480526830232,101.45,45.54
2017-05-01,0.11429277975619441,385.07,46.64
2017-06-01,0.30535218622924115,1196.1200000000001,45.15
2017-07-01,0.2578665919827927,2796.85,34.49
2017-08-01,0.2651027125015657,1670.44,32.19
2017-09-01,0.2352619601835269,1308.69,32.58
2017-10-01,0.3858182189174631,1130.22,32.15
2017-11-01,0.1529121528453158,319.64,29.05
2017-12-01,0.1980219133876734,90.85,27.26
2018-01-01,0.16753697683302857,0.24,30.07
2018-02-01,0.22968652603738635,8.75,36.09
2018-03-01,0.22741808390984797,27.990000000000002,41.48
2018-04-01,0.1534906879333125,540.82,43.55
2018-05-01,0.13924563018127795,609.9499999999999,44.8
2018-06-01,0.18634737104413132,1042.92,41.61
2018-07-01,0.1499018075246385,2466.96,35.62
2018-08-01,0.1988751681922454,2199.57,32.55
2018-09-01,0.15920852920794237,1456.9699999999998,32.02
2018-10-01,0.12656224631294555,698.6800000000001,32.65
2018-11-01,0.19926357136531075,5.739999999999999,30.56
2018-12-01,0.18077106200466989,324.74,28.61
2019-01-01,0.1320637140996329,9.549999999999999,30.57
2019-02-01,0.23137299228058872,201.45000000000002,36.97
2019-03-01,0.24516527254313122,139.31,42.08
2019-04-01,0.20987713130773242,220.49,45.08
2019-05-01,0.10148666725135966,829.28,45.96
2019-06-01,0.19090172934610464,791.31,46.24
2019-07-01,0.1982576112967849,1804.1,34.61
2019-08-01,0.18822270392426502,2206.63,34.31
2019-09-01,0.16122524649605688,2175.74,31.89
2019-10-01,0.16487482381232646,1326.84,31.19
2019-11-01,0.21357511184146002,221.03000000000003,29.21
2019-12-01,0.21014264646836703,21.83,26.35
2020-01-01,0.34799735314317015,106.67999999999999,30.82
2020-02-01,0.14274961084571333,299.66999999999996,32.55
2020-03-01,0.2893799274845206,365.34000000000003,37.85
2020-04-01,0.3145136499516073,565.7,41.9
2020-05-01,0.16796125185344282,768.73,45.06
2020-06-01,0.39730098217988974,1738.3799999999999,39.67
2020-07-01,0.31100934115927925,988.7299999999999,33.65
2020-08-01,0.18106658403777237,2588.46,33.0
2020-09-01,0.329698200042713,935.69,32.23
2020-10-01,0.20048894620028565,1094.44,31.34
2020-11-01,0.29926636234797976,49.97,30.25
2020-12-01,0.2712611584770296,0.06,27.5
2021-01-01,0.12192032129220459,5.49,30.59
